 NUMBER OF NODES FOR CONCRETE                 402
 NUMBER OF NODES FOR STEEL+SHEET                0
 TOTAL NUMBER OF NODES                        402
 NUMBER OF ELEMENTS FOR CONCRETE              203
 NUMBER OF ELEMENTS FOR STEEL+SHEET             0
 TOTAL NUMBER OF ELEMENTS                     203
 TOTAL NUMBER OF MATERIAL                       5
 NUMBER OF STEEL BARS AND SHEET                 0
 NUMBER OF ELEMENTS FOR STEEL                   0
 NUMBER OF ELEMENTS FOR FRP SHEET               0
 NUMBER OF ELEMENTS FOR TENSION STEEL           0
 NUMBER OF ELEMENTS FOR COMPRESSION STEEL           0
 NUMBER OF ELEMENTS FOR STIRUP STEEL           0
 NUMBER OF ELEMENTS FOR LOWER FRP SHEET           0
 NUMBER OF ELEMENTS FOR UPPER FRP SHEET           0
 NUMBER OF BOND ELEMENTS FOR STEEL                   0
 NUMBER OF BOND ELEMENTS FOR FRP SHEET               0
 NUMBER OF BOND ELEMENTS FOR TENSION STEEL           0
 NUMBER OF BOND ELEMENTS FOR COMPRESSIONSTEEL           0
 NUMBER OF BOND ELEMENTS FOR STIRUP STEEL           0
 NUMBER OF BOND ELEMENTS FOR LOWER FRP SHEET           0
 NUMBER OF BOND ELEMENTS FOR UPPER FRP SHEET           0
  ***************KH********************  
 NUMBER OF SPRINGS FOR CONCRETE              518
 NUMBER OF SPRINGS FOR STEEL AND FRP           0
 NUMBER OF SPRINGS FOR BOND                    0
  ***************KH********************  
  COORDINATES OF NODAL POINTS  
   NOD     X      Y
  145  908.1585  136.6652
  146  966.5059  140.8868
  147  978.0615  133.3620
  148 1014.4620  124.0316
  149 1052.2980  142.2972
  150 1093.6136  152.0304
  151 1150.3965  152.2108
  152 1169.7510  123.7592
  153 1215.5077  125.2748
  154 1262.5897  151.6056
  155 1280.6118  146.6656
  156 1320.5594  137.4076
  157 1365.6803  154.1448
  158 1393.8345  159.2424
  159 1430.4113  144.2172
  160 1470.8213  121.8656
  161   30.7042  165.4604
  162   64.5825  160.8212
  163   93.7189  164.6036
  164  140.6396  183.3840
  165  167.9261  178.8468
  166  213.2681  190.8916
  167  259.7483  192.1364
  168  286.2938  169.1856
  169  311.3884  175.4380
  170  367.6706  165.9124
  171  386.9254  192.6308
  172  449.6179  180.5136
  173  452.3415  170.1156
  174  506.2954  171.5164
  175  548.6044  198.5436
  176  565.0541  187.4532
  177  603.2104  184.4948
  178  660.5573  178.2784
  179  707.8279  187.5376
  180  738.4695  162.5256
  181  780.3881  189.0416
  182  796.4299  181.0844
  183  838.0092  196.8716
  184  877.8423  176.6148
  185  911.9696  175.9584
  186  951.5873  181.6516
  187 1000.8248  166.7732
  188 1015.8315  180.4288
  189 1067.8425  195.9156
  190 1104.3071  161.6812
  191 1140.0496  195.8628
  192 1183.2957  194.2392
  193 1214.8920  196.6904
  194 1255.5300  188.4992
  195 1311.1699  183.4832
  196 1321.0942  184.7100
  197 1357.7415  166.2108
  198 1393.6736  186.2548
  199 1442.1199  192.8956
  200 1465.4618  178.0252
  201    0.0000    0.0000
  202    0.0000    0.0000
  203    0.0000    0.0000
  ***************KH********************  
 NODAL POINTS FOR CONCRETE ELEMENTS AND MATERIAL TYPE
 ELEMN1N2N3N4N5N6N7N8N9N10N11N12N13N14N15MAT
    1  321  401  320   11    0    0    0    0    0    0    0    0    0    0    0    1
